timestamp,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,DAY,SUNLIGHT_zscore,HUMIDITY_zscore,IMPORT_TARIFF_zscore,EXPORT_TARIFF_zscore,TRANSPORT_FEES_zscore,ORCHIDS_zscore,x
0,1111.75,1.5,10.5,-2.0,4500.0,95.0,0,2.7294291569696436,2.0555017107310363,1.634003067245518,0.3401258098067942,0.5942544839290944,1.561765940109948,2.9570679214750517
100,1111.75,1.5,10.5,-2.0,4500.0356,94.99599,0,2.7294729169955465,2.0551085239494866,1.634003067245518,0.3401258098067942,0.5942544839290944,1.561765940109948,2.9568351481835538
200,1109.75,1.5,10.5,-2.0,4500.07,94.99198,0,2.7295152019643956,2.0547153371679356,1.634003067245518,0.3401258098067942,0.5942544839290944,1.517459785007158,2.9566016100319006
300,1109.25,1.5,10.5,-2.0,4500.1016,94.98797,0,2.7295540451334555,2.054322150386386,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5063832462314606,2.9563662872065577
400,1110.75,1.5,10.5,-2.0,4500.1313,94.98395,0,2.729590552795515,2.0539279830891704,1.634003067245518,0.3401258098067942,0.5942544839290944,1.539612862558553,2.956129116284949
500,1110.75,1.5,10.5,-2.0,4500.159,94.979935,0,2.729624602029152,2.053534306049788,1.634003067245518,0.3401258098067942,0.5942544839290944,1.539612862558553,2.9558909891302623
600,1110.25,1.5,10.5,-2.0,4500.185,94.975914,0,2.729656561598633,2.0531400407010074,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5285363237828555,2.9556513961830797
700,1110.25,1.5,10.5,-2.0,4500.209,94.97189,0,2.72968606273969,2.0527454811975265,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5285363237828555,2.955410337348667
800,1110.0,1.5,10.5,-2.0,4500.2305,94.96787,0,2.729712490845221,2.0523513139003122,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5229980543950068,2.9551679398826765
900,1111.75,1.5,10.5,-2.0,4500.2505,94.963844,0,2.7297370751294365,2.051956558293697,1.634003067245518,0.3401258098067942,0.5942544839290944,1.561765940109948,2.9549242041008807
1000,1113.25,1.5,10.5,-2.0,4500.268,94.959816,0,2.7297585863781246,2.0515616065839515,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5949955564370404,2.954678747446895
1100,1113.0,1.5,10.5,-2.0,4500.2837,94.95579,0,2.729777885041233,2.051166850977337,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5894572870491916,2.954432270916215
1200,1114.25,1.5,10.5,-2.0,4500.2974,94.95176,0,2.7297947252759207,2.0507717031644574,1.634003067245518,0.3401258098067942,0.5942544839290944,1.6171486339884353,2.954184264791539
1300,1110.75,1.5,10.5,-2.0,4500.309,94.94773,0,2.7298089841607656,2.0503765553515794,1.634003067245518,0.3401258098067942,0.5942544839290944,1.539612862558553,2.9539349201615948
1400,1110.25,1.5,10.5,-2.0,4500.319,94.943695,0,2.7298212763028733,2.049980917280867,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5285363237828555,2.9536842371842664
1500,1111.25,1.5,10.5,-2.0,4500.3267,94.93966,0,2.729830741252295,2.049585279210155,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5506894013342505,2.9534320882249774
1600,1111.25,1.5,10.5,-2.0,4500.3325,94.93562,0,2.7298378706947184,2.0491891508816105,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5506894013342505,2.9531784097032694
1700,1112.75,1.5,10.5,-2.0,4500.3364,94.93159,0,2.72984266463014,2.048794003068731,1.634003067245518,0.3401258098067942,0.5942544839290944,1.583919017661343,2.952924157220672
1800,1111.75,1.5,10.5,-2.0,4500.338,94.92754,0,2.7298446313728766,2.0483968942245214,1.634003067245518,0.3401258098067942,0.5942544839290944,1.561765940109948,2.952667164620737
1900,1112.75,1.5,10.5,-2.0,4500.338,94.9235,0,2.7298446313728766,2.048000765895978,1.634003067245518,0.3401258098067942,0.5942544839290944,1.583919017661343,2.952409789274953
2000,1113.0,1.5,10.5,-2.0,4500.3354,94.91946,0,2.729841435415929,2.0476046375674333,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5894572870491916,2.9521507567321694
2100,1113.0,1.5,10.5,-2.0,4500.3315,94.91541,0,2.729836641480507,2.0472075287232236,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5894572870491916,2.9518902585231976
2200,1111.75,1.5,10.5,-2.0,4500.325,94.91136,0,2.7298286515881367,2.0468104198790154,1.634003067245518,0.3401258098067942,0.5942544839290944,1.561765940109948,2.9516281031172267
2300,1112.25,1.5,10.5,-2.0,4500.317,94.90731,0,2.729818817874451,2.0464133110348057,1.634003067245518,0.3401258098067942,0.5942544839290944,1.5728424788856454,2.9513649916360643
2400,1110.75,1.5,10.5,-2.0,4500.3066,94.90326,0,2.7298060340466592,2.046016202190598,1.634003067245518,0.3401258098067942,0.5942544839290944,1.539612862558553,2.951100350434595
